,url,w_Anth,w_Arxiv,pages_Anth,pages_Arxiv,Jaccard,cosine_abstract,day
478,https://aclanthology.org/2020.findings-emnlp.410,12517.0,13393.0,19.0,20.0,0.6354730600670276,0.957407295703888,184
479,https://aclanthology.org/D18-1111,3723.0,3690.0,6.0,6.0,0.9881862404447532,1.0000001192092896,64
480,https://aclanthology.org/W19-4808,5589.0,5549.0,14.0,13.0,0.988229273285568,1.0,55
481,https://aclanthology.org/2020.coling-main.265,6187.0,6142.0,12.0,12.0,0.9863822060826146,1.000000238418579,32
482,https://aclanthology.org/2021.eacl-main.291,8041.0,3663.0,14.0,7.0,0.2650640024976584,0.5028339624404907,508
483,https://aclanthology.org/W17-5228,3105.0,3071.0,7.0,7.0,0.991128010139417,0.94962340593338,11
484,https://aclanthology.org/D17-1030,4103.0,4073.0,6.0,6.0,0.9902794653705954,0.9931321740150452,43
485,https://aclanthology.org/2021.findings-acl.77,4063.0,4037.0,7.0,7.0,0.9904942965779469,,4
486,https://aclanthology.org/N18-1187,6366.0,6337.0,10.0,10.0,0.986680873734683,1.000000238418579,44
487,https://aclanthology.org/W16-0410,6454.0,6425.0,10.0,10.0,0.9925852694018784,,-552
488,https://aclanthology.org/K18-1004,6882.0,6843.0,11.0,11.0,0.9906156156156156,0.9811633825302124,38
489,https://aclanthology.org/D19-1422,8065.0,8241.0,14.0,15.0,0.9648666232921276,1.0000001192092896,70
490,https://aclanthology.org/2020.lrec-1.462,7069.0,7069.0,9.0,9.0,1.0,1.0000001192092896,-75
491,https://aclanthology.org/D19-1466,7371.0,7325.0,11.0,11.0,0.9891092959937768,1.0000001192092896,1
492,https://aclanthology.org/2020.alta-1.1,6038.0,6038.0,10.0,10.0,1.0,0.8861963152885437,4
493,https://aclanthology.org/P17-2100,3259.0,3248.0,6.0,6.0,0.9313962873284908,1.0,23
494,https://aclanthology.org/2021.acl-short.82,5179.0,3906.0,8.0,7.0,0.4703010577705451,0.8596327304840088,211
495,https://aclanthology.org/D16-1150,6300.0,6315.0,10.0,10.0,0.8448979591836735,,95
496,https://aclanthology.org/P16-2090,3895.0,3862.0,6.0,6.0,0.9859649122807016,,60
497,https://aclanthology.org/W19-4302,4662.0,4690.0,8.0,8.0,0.8789473684210526,1.0,140
498,https://aclanthology.org/2021.emnlp-main.602,10574.0,5877.0,16.0,11.0,0.4781808622502629,0.8761712312698364,250
499,https://aclanthology.org/D19-1615,3501.0,3458.0,6.0,6.0,0.9675925925925926,0.9857070446014404,67
500,https://aclanthology.org/E17-2031,2318.0,2299.0,4.0,4.0,0.9329556185080264,0.9999999403953552,-363
501,https://aclanthology.org/2020.findings-emnlp.355,7011.0,6979.0,11.0,11.0,0.990967741935484,0.998460054397583,24
502,https://aclanthology.org/2020.sigdial-1.21,8156.0,8136.0,13.0,13.0,0.9750791139240508,1.0,14
503,https://aclanthology.org/D19-5001,5881.0,6747.0,9.0,12.0,0.7077059344552702,0.9999998211860656,128
504,https://aclanthology.org/2021.lantern-1.1,9973.0,9581.0,18.0,17.0,0.9295016987542468,0.8320643901824951,76
505,https://aclanthology.org/U16-1019,2409.0,2395.0,5.0,5.0,0.9735034347399412,,24
506,https://aclanthology.org/2020.emnlp-main.329,7542.0,7515.0,13.0,13.0,0.9908350305498982,0.9961870312690736,23
507,https://aclanthology.org/2021.emnlp-main.586,9282.0,9243.0,17.0,17.0,0.9925549915397632,1.0,49
508,https://aclanthology.org/P19-1095,6599.0,6560.0,12.0,12.0,0.989935956084172,1.0,7
509,https://aclanthology.org/2021.emnlp-main.218,6349.0,6317.0,10.0,10.0,0.9897750511247444,0.9498914480209352,13
510,https://aclanthology.org/D18-1332,3807.0,3773.0,6.0,7.0,0.9647058823529412,0.9999998211860656,66
511,https://aclanthology.org/2021.emnlp-main.809,10861.0,10826.0,16.0,16.0,0.9520405123622282,0.9999999403953552,52
512,https://aclanthology.org/N19-1239,7235.0,6796.0,12.0,12.0,0.9410801963993454,0.9943429827690125,92
513,https://aclanthology.org/D15-1222,3409.0,3395.0,6.0,6.0,0.9253956292388849,,7
514,https://aclanthology.org/2021.acl-long.356,7541.0,7510.0,13.0,13.0,0.9719183078045224,0.9934549927711488,33
515,https://aclanthology.org/2020.acl-main.698,5353.0,2818.0,8.0,5.0,0.4248747913188648,0.686332106590271,236
516,https://aclanthology.org/P19-1554,3683.0,3152.0,6.0,5.0,0.6463496316141996,0.9166141748428344,48
517,https://aclanthology.org/2021.emnlp-main.118,6764.0,6711.0,12.0,12.0,0.9875555555555556,1.0,55
518,https://aclanthology.org/D16-1090,3540.0,4348.0,6.0,9.0,0.611704834605598,,133
519,https://aclanthology.org/P19-1597,5779.0,5748.0,10.0,10.0,0.991647331786543,0.9917424917221068,-84
520,https://aclanthology.org/2020.emnlp-demos.2,3848.0,3644.0,6.0,6.0,0.9174698795180722,0.983389973640442,134
521,https://aclanthology.org/D16-1245,3715.0,3728.0,7.0,7.0,0.9214002642007926,,35
522,https://aclanthology.org/2020.lrec-1.266,4903.0,4868.0,8.0,8.0,0.9860302677532014,0.9999999403953552,1
523,https://aclanthology.org/N18-1203,7920.0,10970.0,12.0,21.0,0.837018544935806,1.000000238418579,44
524,https://aclanthology.org/D18-1355,5921.0,5884.0,10.0,10.0,0.9885496183206108,0.939121961593628,6
525,https://aclanthology.org/2021.findings-acl.138,9653.0,9620.0,14.0,14.0,0.9924111762676784,,58
526,https://aclanthology.org/2020.sigtyp-1.1,6023.0,5990.0,11.0,11.0,0.9937888198757764,1.0,16
527,https://aclanthology.org/D19-1324,7523.0,7961.0,12.0,14.0,0.6538940809968847,0.9057961106300354,271
528,https://aclanthology.org/2020.acl-main.454,8869.0,8829.0,16.0,16.0,0.9894810659186536,1.0000001192092896,55
529,https://aclanthology.org/W19-8653,3220.0,3621.0,5.0,9.0,0.9377811094452774,0.9987378716468812,-9
530,https://aclanthology.org/D18-1284,5669.0,5958.0,9.0,10.0,0.9576460098082924,1.0000001192092896,13
531,https://aclanthology.org/2020.acl-main.299,6993.0,6840.0,11.0,11.0,0.968478757423481,0.9999999403953552,62
532,https://aclanthology.org/2020.semeval-1.213,4015.0,3945.0,7.0,7.0,0.9145845438698432,0.9832769632339478,222
533,https://aclanthology.org/2021.repl4nlp-1.27,8358.0,8323.0,14.0,14.0,0.8875515818431912,1.0,108
534,https://aclanthology.org/2021.mtsummit-research.16,7475.0,7910.0,14.0,14.0,0.7087378640776699,0.9729408025741576,113
535,https://aclanthology.org/C18-1110,6399.0,6091.0,12.0,8.0,0.4304703476482617,0.8596374988555908,323
536,https://aclanthology.org/2021.findings-acl.215,4394.0,4569.0,7.0,9.0,0.8797304302747537,,75
537,https://aclanthology.org/2021.emnlp-main.446,6439.0,5794.0,12.0,11.0,0.8290155440414507,1.000000238418579,307
538,https://aclanthology.org/D19-5613,5555.0,5519.0,10.0,10.0,0.9872537659327926,0.9999998807907104,36
539,https://aclanthology.org/2020.lrec-1.656,5838.0,5795.0,8.0,8.0,0.9041546688605512,0.9970574975013732,14
540,https://aclanthology.org/2020.clinicalnlp-1.23,3644.0,3619.0,6.0,6.0,0.9926519706078824,0.9999998807907104,21
541,https://aclanthology.org/2020.emnlp-main.131,7211.0,7178.0,11.0,11.0,0.9934906427990235,0.9984362125396729,13
542,https://aclanthology.org/2020.acl-main.229,10845.0,10971.0,18.0,18.0,0.9354740987579522,0.9999998807907104,52
543,https://aclanthology.org/2020.iwslt-1.30,5749.0,5717.0,10.0,10.0,0.9890891840607212,1.0000001192092896,37
544,https://aclanthology.org/2021.naacl-main.287,10522.0,10485.0,16.0,16.0,0.9858965748824716,0.9984593987464904,-1
545,https://aclanthology.org/P19-1454,5525.0,5490.0,10.0,10.0,0.9868143459915611,1.0,12
546,https://aclanthology.org/2021.eacl-main.61,3781.0,3797.0,7.0,7.0,0.8634996993385448,0.9981235265731812,54
547,https://aclanthology.org/2020.conll-1.13,8128.0,8091.0,12.0,12.0,0.9884979702300406,0.9893839359283448,23
548,https://aclanthology.org/2020.louhi-1.15,6976.0,6943.0,9.0,9.0,0.9915966386554622,1.0,21
549,https://aclanthology.org/2020.coling-main.368,8322.0,8274.0,15.0,15.0,0.9866141732283464,1.0000001192092896,30
550,https://aclanthology.org/2021.naacl-main.205,7112.0,5316.0,11.0,8.0,0.7131274131274131,0.9835723638534546,223
551,https://aclanthology.org/2020.acl-main.264,3674.0,3643.0,7.0,7.0,0.9830769230769232,0.9893843531608582,49
552,https://aclanthology.org/W18-5805,6573.0,7135.0,11.0,12.0,0.8846447669977082,1.0,12
553,https://aclanthology.org/2021.emnlp-main.225,4198.0,3956.0,7.0,6.0,0.949814126394052,0.9988962411880492,66
554,https://aclanthology.org/D19-1655,4628.0,4584.0,7.0,7.0,0.969170403587444,0.996727466583252,62
555,https://aclanthology.org/2021.acl-short.13,3430.0,3021.0,6.0,6.0,0.8739076154806492,0.990844190120697,241
556,https://aclanthology.org/N19-1130,4121.0,4095.0,7.0,7.0,0.9905660377358492,0.9946732521057128,45
557,https://aclanthology.org/2021.wassa-1.30,3801.0,3762.0,7.0,7.0,0.9847560975609756,0.9997317790985109,22
558,https://aclanthology.org/2021.emnlp-main.752,5928.0,2352.0,9.0,4.0,0.2755186721991701,0.95195871591568,346
559,https://aclanthology.org/2020.bionlp-1.20,5077.0,5052.0,8.0,8.0,0.9915878023133544,0.9999998807907104,36
560,https://aclanthology.org/2020.lrec-1.294,9531.0,9531.0,11.0,11.0,1.0,0.9951318502426147,-62
561,https://aclanthology.org/D18-1539,3306.0,3274.0,6.0,6.0,0.9629893238434164,1.0,67
562,https://aclanthology.org/P19-1011,6115.0,6078.0,10.0,10.0,0.9893518518518518,1.0,12
563,https://aclanthology.org/2021.eacl-main.236,6228.0,6188.0,11.0,11.0,0.9851247600767754,1.0000001192092896,4
564,https://aclanthology.org/I17-2052,3445.0,3416.0,6.0,6.0,0.9859906604402936,0.9999999403953552,15
565,https://aclanthology.org/2021.findings-emnlp.244,12790.0,9583.0,23.0,17.0,0.6499477533960293,0.915046215057373,205
566,https://aclanthology.org/2021.acl-short.73,5058.0,5014.0,10.0,10.0,0.97317201472909,1.000000238418579,60
567,https://aclanthology.org/W18-4413,3648.0,3585.0,7.0,5.0,0.8459016393442623,0.9922208786010742,51
568,https://aclanthology.org/N19-1391,3020.0,2819.0,6.0,5.0,0.9014084507042254,1.0000001192092896,85
569,https://aclanthology.org/2021.emnlp-main.684,5598.0,5567.0,9.0,9.0,0.9936461388074292,0.9923878908157348,43
570,https://aclanthology.org/W17-3201,5732.0,3986.0,10.0,7.0,0.4815712900096993,0.8691607713699341,225
571,https://aclanthology.org/2020.alta-1.5,6817.0,6817.0,11.0,11.0,0.9813895781637716,0.9956026673316956,1
572,https://aclanthology.org/D19-6117,5575.0,5537.0,10.0,10.0,0.9867060561299852,1.0000001192092896,4
573,https://aclanthology.org/2021.findings-acl.268,6007.0,5978.0,10.0,10.0,0.9921030756442228,,59
574,https://aclanthology.org/P16-1185,5371.0,5339.0,10.0,10.0,0.9848392965433596,,47
575,https://aclanthology.org/P17-1155,7121.0,7062.0,11.0,11.0,0.96900826446281,0.9918047189712524,70
576,https://aclanthology.org/2020.emnlp-main.89,8099.0,8332.0,14.0,14.0,0.7888,1.0000001192092896,186
577,https://aclanthology.org/2021.findings-acl.101,6928.0,6901.0,11.0,11.0,0.9907290349768226,,56
578,https://aclanthology.org/P19-1021,5746.0,5708.0,11.0,11.0,0.9909995262908574,1.0,34
579,https://aclanthology.org/W19-5917,6751.0,6722.0,11.0,11.0,0.9901408450704224,0.9987969398498536,4
580,https://aclanthology.org/P17-1086,6427.0,6361.0,10.0,10.0,0.9892573563755256,0.9970095157623292,69
581,https://aclanthology.org/2021.semeval-1.139,2907.0,2896.0,5.0,5.0,0.9720332577475436,1.000000238418579,62
582,https://aclanthology.org/2020.ngt-1.7,5134.0,5108.0,9.0,9.0,0.977112676056338,1.0000001192092896,4
583,https://aclanthology.org/2020.findings-emnlp.151,3985.0,3942.0,7.0,7.0,0.968187274909964,0.9999998807907104,30
584,https://aclanthology.org/E17-1028,7743.0,7863.0,13.0,13.0,0.9577510562235944,1.0,80
585,https://aclanthology.org/L18-1244,7923.0,4610.0,11.0,6.0,0.6283452695062194,,174
586,https://aclanthology.org/N19-1272,7468.0,6718.0,13.0,11.0,0.6586872586872586,1.000000238418579,211
587,https://aclanthology.org/2021.emnlp-main.49,9994.0,9956.0,16.0,16.0,0.9920194309507286,1.0000001192092896,67
588,https://aclanthology.org/2021.naacl-main.116,6392.0,6354.0,11.0,11.0,0.9917279411764706,1.0,47
589,https://aclanthology.org/2021.findings-emnlp.151,10676.0,10711.0,15.0,15.0,0.9776214833759592,1.0000001192092896,52
590,https://aclanthology.org/2021.eacl-srw.16,5920.0,5881.0,10.0,10.0,0.9909287257019438,0.9973429441452026,48
591,https://aclanthology.org/2021.emnlp-main.155,4333.0,4304.0,7.0,7.0,0.9937428896473264,1.0000001192092896,41
592,https://aclanthology.org/W16-1312,3789.0,3772.0,6.0,6.0,0.9757207890743552,,41
593,https://aclanthology.org/2020.acl-main.563,7281.0,7126.0,12.0,12.0,0.988491574188245,1.0,29
594,https://aclanthology.org/2020.autosimtrans-1.5,3661.0,3636.0,7.0,7.0,0.9864355689525244,0.9872519969940186,23
595,https://aclanthology.org/2021.blackboxnlp-1.28,7557.0,7056.0,12.0,11.0,0.7887759611135661,0.9978363513946532,375
